Video title,Video publish time,Duration,Views,Watch time (hours),Subscribers,Estimated revenue (USD),Impressions,Impressions click-through rate (%),Thumbnail Color,Genre,Fandom 
A Quick Cup of Coffee A Ladrien Fanfic Oneshot Miraculous Ladybug,29-Jul-19,185,6,0.0583,0,0.006,243,1.23,,,
Running Jumping Leaping Towards Love A Miraculous Ladybug fanfic Part 1,31-Dec-19,702,6,0.1789,0,0,46,4.35,,,
Cat Instincts Part 1/5 - A Marichat  Miraculous Ladybug Fanfiction Love Story,10-Oct-20,624,6,0.5932,0,0.042,94,2.13,,,
Music in the Cafe - Day Thirteen//A Lukanette Month Long Fanfiction,13-Jun-20,1289,6,0.0101,0,,23,0,,,
No - A LadyNoir Miraculous Ladybug Oneshot Fanfiction Story,16-Sep-20,649,6,0.2997,0,0.018,207,2.42,,,
Music in the Cafe - Day Fifteenth//A Lukanette Month Long Fanfiction,15-Jun-20,802,6,0.0038,0,,25,0,,,
Oh Saturday Sun(I Met Someone)Ch.2/Miraculous Ladybug Fanfiction| Adrienette AU High School Fluff,8-Jan-22,712,5,0.3727,0,0.006,221,0.9,,,
In The Bright Moonlight (You're My Sun)Day 6 - Ladynoir July Miraculous Ladybug Fanfiction,6-Jul-21,710,5,0.1435,0,0.011,138,2.17,,,
In The Bright Moonlight (You're My Sun)//Day 3 - Ladynoir July Miraculous Ladybug Fanfiction,3-Jul-21,728,5,0.5332,0,0.075,145,2.07,,,
Bring Me Java(Bring Me Joy)Ch2Miraculous Ladybug Adrienette Audiofic Cafe AU Fluff MeetCute Pining,2-Feb-22,765,5,0.4237,0,0.016,233,0.43,,,
Little Darlings An Adrientte OneShot Fanfictions,3-Apr-20,1414,5,0.0807,0,0.007,122,3.28,,,
In The Bright Moonlight (You're My Sun)//Day 4 - Ladynoir July Miraculous Ladybug Fanfiction,4-Jul-21,578,5,0.2581,0,0.021,144,1.39,,,
Cat Instincts - Part 4/5 - A Marichat Miraculous Ladybug Fanfiction Love Story,18-Nov-20,774,5,0.4837,0,0.02,58,1.72,,,
Can I Ask You a Question Part 1 of 4//Ladrien - A Miraculous Ladybug Love Square Fanfiction story,12-Aug-20,599,5,0.2162,0,0.003,58,6.9,,,
It's Been So Long Part 14 An Adrienette Miraculous Ladybug Fanfiction,15-May-20,1490,5,0.6421,0,0.001,70,2.86,,,
Pretty Asian Girl Part 1/3 - An Adrientte Miraculous Ladybug Fan-fiction story,19-May-20,947,5,0.2685,0,0.022,154,1.95,,,
Oh Saturday Sun(I Met Someone)Ch.3/Miraculous Ladybug Fanfiction|Adrienette AU High School Fluff,15-Jan-22,730,5,0.2808,0,0.014,228,0.88,,,
Next To You Starstruck Chapter 18 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,15-Jun-21,1372,5,0.6907,0,0.019,151,0.66,,,
Music in the Cafe - Day Fourteen//A Lukanette Month Long Fanfiction,14-Jun-20,727,5,0.0031,0,0.005,23,0,,,
Bring Me JavaBring Me Joy Ch3/Miraculous Ladybug Adrienette Audiofic Cafe AU Fluff MeetCute Pining,9-Feb-22,805,5,0.6325,0,0.038,250,0.4,,,
Underneath The Mistletoe Part 1 of 5 An Adrienette Christmas AU Miraculous Ladybug Fanfiction,5-Dec-20,551,5,0.1763,0,0.027,143,2.1,,,
The 5th and The 1st Chapter 1:6 An Adrienette Miraculous Ladybug Fanfiction,2-Mar-21,569,5,0.35,,0.002,217,0.92,,,
In The Bright Moonlight (You're My Sun)//Day 5 - Ladynoir July Miraculous Ladybug Fanfiction,5-Jul-21,591,5,0.1472,0,0.021,144,1.39,,,
Next To You Starstruck Chapter 16 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,9-Jun-21,936,4,0.4956,0,0.019,128,0.78,,,
Next To You Starstruck Chapter 14 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,5-Jun-21,1303,4,0.8385,0,0.007,133,1.5,,,
The Princess and her Prince//Day 11 - A Month Long Marichat Miraculous Ladybug Fanfiction,11-Aug-19,166,4,0.0795,0,0.002,41,4.88,,,
It's Been So Long Part 4 An Adrienette Miraculous Ladybug Fanfiction,8-Aug-19,600,4,0.2498,0,0.001,51,3.92,,,
It's Been So Long Part 8 An Adrienette Miraculous Ladybug Fanfiction,9-Dec-19,665,4,0.2767,0,0,56,3.57,,,
It's Been So Long Part 10 An Adrienette Miraculous Ladybug Fanfiction,11-Jan-20,1078,4,0.4485,0,0,62,3.23,,,
It's Been So Long Part 24 An Adrientte Miraculous Ladybug Fanfiction,19-Oct-20,2337,4,0.3293,0,,92,3.26,,,
Lay An Open Rose Garden Chapter 8 An Adrienette Hanahaki AU Miraculous Ladybug Fanfiction,28-Apr-21,784,4,0.3892,0,0,119,0.84,,,
It's Been So Long Part 7 An Adrienette Miraculous Ladybug Fanfiction,14-Sep-19,796,4,0.3538,0,0.002,52,1.92,,,
Can I Ask You A Question Part 2 of 4//Ladynoir ~ A Miraculous Ladybug Love Sqaure Fanfiction,2-Sep-20,749,4,0.0027,0,,57,5.26,,,
Next To You Starstruck Chapter 19 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,17-Jun-21,1187,4,0.5352,0,0.011,146,1.37,,,
Deathly Afraid of Loving You Part (1/5) A LadyNoir Miraculous Ladybug Fanfiction,19-Sep-19,309,4,0.1938,0,0.016,63,3.17,,,
It's Been So Long Part 6 An Adrienette Miraculous Ladybug Fanfiction,5-Sep-19,821,4,0.384,0,0.003,53,3.77,,,
Cat Instincts Part 2/5 - A Marichat Miraculous Ladybug Fanfiction Love Story,30-Oct-20,738,4,0.5924,0,0.02,61,3.28,,,
Lay An Open Rose Garden Chapter 3 An Adrienette Hanahaki AU Miraculous Ladybug Fanfiction,14-Apr-21,625,4,0.161,0,,110,1.82,,,
Music in the Cafe - Day Twelve//A Lukanette Month Long Fanfiction,12-Jun-20,771,4,0.0022,0,0.019,22,0,,,
Good Girls Like Bad Boys Part 1/7 - A Tikki and Plagg Fairy AU Miraculous Ladybug Fanfiction,1-Feb-20,693,4,0.1183,0,0.003,49,6.12,,,
Deathly Afraid of Loving You Part (4/5) A LadyNoir Miraculous Ladybug Fanfiction,29-Sep-19,403,4,0.2778,0,0.006,41,4.88,,,
Lay An Open Rose Garden Chapter 6 An Adrienette Hanahaki AU Miraculous Ladybug Fanfiction,22-Apr-21,589,4,0.1746,0,0,127,2.36,,,
And Right There Where We Stood Ch.7 Finale/Ladynoir Miraculous Ladybug Fanfiction,9-Jan-22,1088,4,0.3086,0,0.012,228,1.75,,,
Next To You Starstruck Chapter 24:24 Finale An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,27-Jun-21,1312,4,0.1614,0,0.008,136,0.74,,,
Music in the Cafe-Day Twenty-Eight//A Lukentte Month Long AU Fanfiction Series,28-Jun-20,791,4,0.004,0,,25,0,,,
Oh Saturday Sun I Met Someone Ch4/Miraculous Ladybug Fanfiction|Adrienette AU High School Fluff,22-Jan-22,899,4,0.1999,0,0.032,226,0.88,,,
On The Trail Of Petals Chapter 11 Finale A Hanahaki Adrienette Miraculous Ladybug Fanfiction,17-Feb-21,1089,4,0.3053,0,,65,1.54,,,
It's Been So Long Part 3 An Adrienette Miraculous Ladybug Fanfiction,28-Jul-19,840,4,0.3903,0,0.001,71,2.82,,,
Next To You Starstruck Chapter 17 An Adrienette Neighbor AU Miraculous Ladybug Fanfiction,13-Jun-21,1222,4,0.5759,0,0.024,150,0.67,,,
Deathly Afraid of Loving You Part (5/5) A LadyNoir Miraculous Ladybug Fanfiction,30-Sep-19,162,4,0.1107,0,0.007,42,4.76,,,
It's Been So Long Part 11 An Adrienette Miraculous Ladybug Fanfiction,4-Mar-20,1457,4,0.6127,0,0,54,3.7,,,
Cat Instincts - Part 3/5 - A Marichat Miraculous Ladybug Fanfiction Love Story,4-Nov-20,718,4,0.4149,0,0.011,71,1.41,,,
Music in the Cafe - Day Eleven//A Lukanette Month Long Fanfiction,11-Jun-20,1030,4,0.0124,0,,23,0,,,
